user_id,num_train_ratings,train_corr,fixed_test_corr,good_test_corr,train_rmse,fixed_test_rmse,good_test_rmse,passed_redisplay,passed_arbitrary,ratings_accuracy,fixed_mpc_accuracy,good_mpc_accuracy
0.0,21.0,1.0,0.7599110400121809,-0.0753778361444409,0.0,0.7416198487095663,1.284523257866513,1.0,1.0,0.4,0.8,0.6
1.0,41.0,0.9999999999999999,0.6756639246921761,0.16666666666666663,2.6008155943658583e-17,0.6519202405202649,0.8660254037844386,0.0,1.0,0.8,0.7,0.6
2.0,31.0,1.0,0.26999340618777323,,0.0,1.140175425099138,1.449137674618944,1.0,1.0,0.4,0.6,0.4
3.0,31.0,1.0,-0.10458048596573129,-0.196116135138184,1.994019416548808e-17,1.036822067666386,0.8660254037844386,1.0,1.0,0.8,0.4,0.6
4.0,41.0,0.9999999999999994,0.3450327796711772,-0.6454972243679027,6.05791715202456e-19,0.4472135954999579,0.8660254037844386,1.0,1.0,0.2,0.9,0.8
5.0,51.0,1.0,0.3978393634095095,0.16666666666666674,0.0,0.806225774829855,1.0954451150103321,1.0,1.0,1.0,0.8,0.8
6.0,21.0,1.0,0.1863389981249825,,0.0,0.6708203932499369,0.4472135954999579,1.0,1.0,1.0,0.6,1.0
7.0,41.0,1.0,-0.062402572037414734,-0.39528470752104733,0.0,1.036822067666386,0.8366600265340756,1.0,1.0,0.6,0.8,0.8
8.0,31.0,0.9999999999999998,0.46731625028052354,-0.25,0.0,0.6324555320336759,0.7745966692414834,1.0,1.0,1.0,0.8,1.0
9.0,41.0,1.0,0.1165323183268743,-0.3429971702850177,0.0,0.9617692030835673,0.8660254037844386,1.0,1.0,1.0,0.5,0.6
10.0,41.0,0.9999999999999999,0.38908830646863807,-0.5345224838248487,3.8770669772957187e-17,0.5244044240850758,0.5477225575051661,1.0,1.0,0.6,0.7,0.4
11.0,31.0,0.9999999999999996,0.41344911529736156,-0.39317854974639227,0.0,0.8366600265340756,1.0723805294763609,0.0,1.0,0.4,0.5,0.4
12.0,41.0,1.0,-0.07949984100047702,,0.0,0.689202437604511,0.7071067811865476,1.0,1.0,0.6,0.5,1.0
13.0,21.0,1.0,0.06615894593937072,-0.16666666666666669,0.0,1.118033988749895,1.449137674618944,1.0,1.0,1.0,0.6,0.4
14.0,41.0,1.0,-0.21199957600127198,0.3273268353539884,0.0,0.758287544405155,0.5477225575051661,1.0,1.0,0.6,0.5,1.0
15.0,21.0,1.0,-0.22545481924029076,,6.523333555474887e-17,1.3133925536563698,0.4472135954999579,1.0,1.0,1.0,0.6,1.0
16.0,51.0,0.9999999999999999,0.018178813667514972,-0.7905694150420949,0.0,0.8215838362577492,1.2041594578792296,1.0,1.0,0.8,0.4,0.2
