Original,PCA-5,UMAP-5,VGG-PCA-10,VGG-PCA-20
0.5609756097560976,0.5691056910569106,0.5471544715447155,0.5504065040650405,0.5439024390243901
0.5439024390243902,0.5585365853658538,0.5487804878048782,0.548780487804878,0.5471544715447154
0.5626016260162602,0.5349593495934959,0.543089430894309,0.5512195121951219,0.5495934959349593
0.5634146341463414,0.5455284552845528,0.5544715447154471,0.5455284552845528,0.5341463414634147
0.567479674796748,0.5487804878048781,0.5593495934959349,0.545528455284553,0.5349593495934958
0.5926829268292685,0.5422764227642277,0.5373983739837398,0.5422764227642278,0.5260162601626016
0.5886178861788618,0.5349593495934959,0.5593495934959349,0.5373983739837399,0.5260162601626016
0.5910569105691057,0.5373983739837398,0.5634146341463414,0.5569105691056911,0.5390243902439024
0.5829268292682928,0.5479674796747968,0.5560975609756098,0.5642276422764229,0.5650406504065041
0.5821138211382112,0.5463414634146341,0.556910569105691,0.5666666666666665,0.5609756097560976
0.5723577235772358,0.5333333333333333,0.5585365853658536,0.5731707317073169,0.5853658536585366
0.5813008130081301,0.5390243902439024,0.5601626016260162,0.5747967479674797,0.5577235772357723
0.5764227642276423,0.551219512195122,0.5707317073170732,0.5707317073170732,0.5682926829268292
0.5926829268292683,0.559349593495935,0.5739837398373985,0.5772357723577236,0.5650406504065041
0.5983739837398373,0.5577235772357724,0.5707317073170731,0.5756097560975609,0.5723577235772357
0.5991869918699188,0.5544715447154471,0.5691056910569106,0.5715447154471545,0.5764227642276422
0.6016260162601628,0.5544715447154471,0.5626016260162601,0.5788617886178861,0.556910569105691
0.5951219512195121,0.551219512195122,0.567479674796748,0.5788617886178862,0.5601626016260162
0.5926829268292683,0.5528455284552846,0.5739837398373984,0.5739837398373985,0.5804878048780487
0.6032520325203252,0.567479674796748,0.5650406504065041,0.5764227642276423,0.5804878048780487
0.5975609756097561,0.5634146341463413,0.5764227642276423,0.5739837398373985,0.5845528455284553
0.6065040650406504,0.5642276422764227,0.5756097560975609,0.5796747967479677,0.5869918699186991
0.6130081300813006,0.5642276422764227,0.5642276422764229,0.5829268292682928,0.5780487804878047
0.6056910569105691,0.5650406504065041,0.5699186991869918,0.5837398373983741,0.5837398373983739
0.6040650406504063,0.5601626016260162,0.5682926829268293,0.5747967479674798,0.5853658536585367
0.6032520325203251,0.5642276422764229,0.5682926829268293,0.5853658536585367,0.5894308943089431
0.6056910569105689,0.5682926829268293,0.5707317073170731,0.5821138211382115,0.5902439024390245
0.6121951219512194,0.5796747967479676,0.5869918699186991,0.575609756097561,0.580487804878049
0.6040650406504064,0.5764227642276422,0.5878048780487803,0.5772357723577237,0.5821138211382113
0.605691056910569,0.5658536585365853,0.5780487804878048,0.5861788617886179,0.5829268292682928
0.6048780487804876,0.5707317073170732,0.5804878048780487,0.5813008130081301,0.5878048780487805
0.6081300813008129,0.5682926829268293,0.5804878048780487,0.580487804878049,0.583739837398374
0.6097560975609755,0.5682926829268291,0.5813008130081301,0.5829268292682928,0.5926829268292683
0.6121951219512194,0.5650406504065042,0.5707317073170732,0.5723577235772359,0.5821138211382113
0.6089430894308944,0.5585365853658537,0.5715447154471545,0.5821138211382114,0.5886178861788617
0.6130081300813008,0.5617886178861788,0.5747967479674798,0.5796747967479676,0.5804878048780487
0.6138211382113821,0.5658536585365852,0.5772357723577236,0.5829268292682928,0.5804878048780487
