user_id,num_train_ratings,train_corr,fixed_test_corr,good_test_corr,train_rmse,fixed_test_rmse,good_test_rmse,passed_redisplay,passed_arbitrary,ratings_accuracy,fixed_mpc_accuracy,good_mpc_accuracy
0.0,31.0,1.0,0.1268428512407817,0.6805446536716203,0.0,0.5865151319446072,0.8485281374238571,1.0,0.0,0.4,,
1.0,51.0,1.0,0.17457910180461403,0.6126788517448396,0.0,0.4774934554525329,0.4,1.0,0.0,0.8,,
2.0,51.0,1.0,0.2314523341531829,0.3273268353539886,0.0,0.4301162633521313,0.7745966692414834,1.0,0.0,0.2,,
3.0,51.0,1.0,0.4141109873037261,,0.0,0.5621387729022078,0.5059644256269408,1.0,1.0,1.0,,
4.0,31.0,1.0,-0.3739896631100042,,0.0,0.2966479394838265,0.2190890230020664,1.0,1.0,0.8,,
5.0,21.0,0.9999999999999999,-0.039938753201519725,0.23249527748763868,0.0,0.6418722614352486,0.5099019513592785,1.0,0.0,0.4,,
6.0,51.0,0.9999999999999999,0.04182254699658263,0.4023892374872818,0.0,0.3073109174760962,0.32692506786724074,1.0,1.0,0.8,,
7.0,51.0,1.0,0.4132198134582529,-0.44821072850039745,0.0,0.5099019513592784,0.6324555320336759,1.0,0.0,0.8,,
8.0,11.0,1.0,0.22149059748072938,0.5477225575051661,0.0,0.4472135954999579,0.46475800154489005,1.0,0.0,0.4,,
9.0,31.0,0.9999999999999999,0.3758414623324664,-0.40824829046386296,0.0,0.4242640687119285,0.15491933384829662,1.0,1.0,1.0,,
10.0,41.0,1.0,0.017378824984374253,-0.19611613513818404,0.0,0.43358966777357605,0.49799598391954936,1.0,0.0,0.6,,
11.0,31.0,1.0,-0.12157859785162886,0.21004201260420144,0.0,0.46583258795408466,0.3346640106136303,1.0,0.0,0.6,,
12.0,31.0,0.9999999999999997,-0.09622504486493756,-0.0680413817439772,0.0,0.409878030638384,0.8579044235810886,1.0,0.0,0.2,,
13.0,51.0,1.0,-0.3522825528537665,0.8846517369293823,0.0,0.532916503778969,0.2366431913239848,1.0,1.0,1.0,,
14.0,11.0,1.0,0.4879500364742665,0.16666666666666669,0.0,0.36469165057620934,0.12649110640673514,1.0,0.0,1.0,,
15.0,31.0,0.9999999999999997,0.06325530993774789,,0.0,0.9422101676377728,1.2146769117753082,1.0,0.0,0.6,,
16.0,31.0,0.9999999999999999,0.582070883456212,,0.0,0.4961048276322253,0.17549928774784238,1.0,0.0,1.0,,
17.0,41.0,0.9999999999999998,0.024012297445244277,0.5809475019311127,0.0,0.4472135954999579,0.5440588203494178,1.0,1.0,0.6,,
18.0,11.0,1.0,0.2715600901612974,-0.184506241605777,0.0,0.40987803063838396,0.7655063683601855,1.0,1.0,0.6,,
19.0,21.0,1.0,0.07883699139543482,,0.0,0.6957010852370435,0.49055071093618846,1.0,0.0,1.0,,
20.0,41.0,1.0,0.764264748848728,-0.38348249442368515,0.0,0.322490309931942,0.66332495807108,1.0,0.0,0.8,,
21.0,41.0,1.0,0.511045172711459,0.5590169943749475,0.0,0.4560701700396552,0.2190890230020665,1.0,0.0,1.0,,
22.0,31.0,1.0,-0.033377866864659475,-0.22360679774997938,0.0,0.5138093031466051,0.20000000000000012,1.0,0.0,1.0,,
23.0,41.0,0.9999999999999998,-0.2785895000354799,-0.4923659639173309,0.0,0.635609943282828,0.753657747256671,1.0,0.0,0.4,,
24.0,11.0,1.0,0.8748359836281634,0.6593804733957873,0.0,0.316227766016838,0.34641016151377546,1.0,0.0,0.8,,
25.0,21.0,0.9999999999999998,0.08576318112375043,,0.0,0.8907524908749905,0.8049844718999243,1.0,1.0,0.8,,
26.0,31.0,0.9999999999999999,0.210585848725027,0.38888888888888895,0.0,0.433589667773576,0.66332495807108,1.0,0.0,0.6,,
27.0,31.0,1.0,0.5232687947332982,,0.0,0.594138031100518,0.29664793948382645,1.0,0.0,0.8,,
28.0,41.0,0.9999999999999998,-0.33970350448626974,0.40824829046386296,0.0,0.28284271247461906,0.3130495168499706,1.0,0.0,0.6,,
29.0,31.0,1.0,0.6286185570937121,-0.4308202184276642,0.0,0.19999999999999996,0.4494441010848846,1.0,0.0,0.2,,
30.0,51.0,1.0,0.3627450980392157,3.1096180814117603e-16,0.0,0.37947331922020555,1.0890362712049586,1.0,0.0,0.2,,
31.0,21.0,1.0,-0.3131121455425747,0.0,0.0,0.7668115805072326,1.007968253468332,1.0,1.0,0.0,,
32.0,31.0,1.0,0.2720711135665476,-0.6985354731356995,0.0,0.5796550698475776,0.7745966692414834,1.0,1.0,0.8,,
33.0,21.0,0.9999999999999999,-0.4938191220771762,0.5052911526399113,0.0,1.0315037566582101,0.3577708763999664,1.0,1.0,1.0,,
34.0,21.0,1.0,0.10313531004263204,-0.25663245128736806,0.0,0.7771743691090179,0.38470768123342686,0.0,0.0,1.0,,
35.0,51.0,0.9999999999999999,0.6107382550335567,,0.0,0.21908902300206654,0.4195235392680607,1.0,0.0,0.4,,
36.0,21.0,1.0,0.10120511309409211,,0.0,0.322490309931942,0.322490309931942,1.0,1.0,0.6,,
37.0,41.0,1.0,0.22798488507605463,0.1020620726159668,0.0,0.7321202087089251,0.5585696017507578,0.0,1.0,1.0,,
38.0,51.0,1.0,0.23560342771592754,0.4004926905196846,0.0,0.37083689136869863,0.567309439371495,1.0,0.0,0.4,,
